uuid,split,label,duration_seconds,peak,clipped_sample_fraction,active_frame_fraction,active_span_seconds,status
be61b105-27d2-451e-be22-bea152a7d2b7,train,0,9.9,1.015296220779419,6.313131313131313e-06,0.21616161616161617,5.08,decoded
f648c8d2-86db-4f23-a1b9-a0b437cef2e0,train,0,8.1,0.8821413516998291,0.0,0.145679012345679,2.7,decoded
b8a6b80d-9241-4e16-ab61-dd392640c7e1,train,0,9.96,0.7783206701278687,0.0,0.14859437751004015,2.6,decoded
bfa6b379-56e3-4144-ac7c-17d7269e9865,train,0,9.84,0.7814639806747437,0.0,0.10772357723577236,3.96,decoded
11f2a916-e3d5-4c8a-a339-d1d3e1c5f4d3,train,0,9.9,0.42786818742752075,0.0,0.12727272727272726,2.68,decoded
dbb52561-93ca-444e-9ff9-e61fd6c6996f,train,0,9.84,0.9261229038238525,0.0,0.45934959349593496,7.7,decoded
c82e0dba-9717-440b-b29d-03c5b32be961,train,0,9.78,0.79702228307724,0.0,0.2310838445807771,8.48,decoded
8f989311-1cc3-4c4e-ba8a-eaf07a244688,train,0,3.12,0.9457136392593384,0.0,0.1858974358974359,0.62,decoded
2df9d90f-7616-482f-ae5a-e0c8d3ee4289,train,0,9.78,1.0395586490631104,6.390593047034765e-06,0.1492842535787321,1.8800000000000001,decoded
8673fbc5-4890-4f3f-807a-b3d3d95c11d7,train,0,9.9,0.6849921345710754,0.0,0.09898989898989899,3.14,decoded
2716f7c1-a47d-4634-9f97-e2d8c59b3bbf,train,0,7.62,0.7820460796356201,0.0,0.1889763779527559,5.0600000000000005,decoded
6c9a5f33-9e90-4c08-8782-20b0d86abc46,train,0,9.96,0.9748468995094299,0.0,0.20481927710843373,5.46,decoded
460a8717-0a50-4e1f-b399-86e27cc31579,train,1,9.72,0.941054105758667,0.0,0.04938271604938271,1.02,decoded
81e0894b-e409-446a-a891-8aab6d385259,train,1,9.96,0.5294140577316284,0.0,0.27309236947791166,9.46,decoded
beb10920-1bf0-42af-ada7-b73e73919bfa,train,1,4.2,0.8005039691925049,0.0,0.3952380952380952,3.98,decoded
e695a385-83cf-48d7-9595-ab9cf8923359,train,1,9.96,0.5999219417572021,0.0,0.3232931726907631,5.5200000000000005,decoded
b1821263-6041-423f-93d6-a174d97bc4d7,train,1,8.16,0.9920132160186768,0.0,0.20098039215686275,3.44,decoded
59285a69-a0c0-40fb-92ee-c4a771b292b4,train,1,9.78,0.7942272424697876,0.0,0.16155419222903886,3.08,decoded
